Country,Window,test_year,r2_MSE,mae_MSE,r2_Huber,mae_Huber,r2_MAE,mae_MAE,r2_Tweedie,mae_Tweedie
DE,W1,2020,0.6014,7.32,-430.3437,326.15,0.6112,7.35,,
DE,W2,2021,-0.864,55.09,-6.06,134.46,-0.6475,48.89,,
DE,W3 (Crisis),2022,-2.4611,127.22,-0.5626,79.78,-2.4818,126.77,,
DE,W4,2023,0.0026,32.14,-14.9027,140.39,-0.0749,33.64,,
DE,W5,2024,0.5198,16.28,0.3803,22.45,0.5912,14.2,,
DE,W6,2025,0.5482,18.79,-4.0117,41.0,0.5224,18.48,,
DK,W1,2020,0.0966,13.15,-53.7442,124.12,-0.085,14.56,,
DK,W2,2021,-0.1648,34.84,-0.4726,52.62,-0.2717,37.34,,
DK,W3 (Crisis),2022,-1.6644,118.02,-1.2161,102.77,-1.6513,117.0,,
DK,W4,2023,0.4358,23.15,-10.1981,133.45,0.2853,27.49,,
DK,W5,2024,0.2565,24.07,-1.1568,49.92,0.2696,23.57,,
DK,W6,2025,0.268,26.37,0.2041,28.14,0.234,26.96,,
ES,W1,2020,0.6016,5.26,-347119.9073,6393.32,0.4228,6.51,0.4538,6.27
ES,W2,2021,-0.6312,56.7,-304.1255,1053.09,-0.4515,52.09,-0.77,60.02
ES,W3 (Crisis),2022,-3.2982,105.91,-26.9639,293.7,-3.405,106.95,-3.6788,110.31
ES,W4,2023,0.2579,20.49,-109.7963,360.02,0.2603,22.87,0.1257,27.98
ES,W5,2024,0.5867,18.61,-166.3688,476.05,0.4581,21.68,0.6273,17.37
ES,W6,2025,0.4441,22.1,-3.7788,69.4,0.422,22.31,0.6074,18.68
FR,W1,2020,0.2859,8.16,-2001.5444,589.7,0.289,8.19,,
FR,W2,2021,-0.2318,50.5,-106.9999,668.5,-0.4789,56.26,,
FR,W3 (Crisis),2022,-2.4531,127.73,-12.4424,282.88,-2.6143,131.4,,
FR,W4,2023,0.1896,29.48,-24.3808,187.58,-0.0869,33.52,,
FR,W5,2024,0.1145,25.5,-0.2348,29.92,-0.0541,27.8,,
FR,W6,2025,0.4112,23.06,-21.1595,135.41,0.1313,28.04,,
IT,W1,2020,0.2148,10.61,-62842727.4127,109873.36,0.2564,10.3,0.4383,8.79
IT,W2,2021,-0.5244,55.12,-7937.5004,5815.44,-0.5288,54.83,-0.5667,56.14
IT,W3 (Crisis),2022,-4.776,163.38,-9281.2789,7122.48,-4.8934,165.18,-4.7708,163.59
IT,W4,2023,0.6719,12.9,-71890.9834,8314.43,-0.0293,27.41,0.5363,16.03
IT,W5,2024,0.4595,12.83,-185911.015,10126.65,0.2642,15.17,0.1479,17.05
IT,W6,2025,-1.2955,21.37,-532532.4823,11614.29,-1.328,21.82,-1.0395,19.66
PL,W1,2020,-0.1628,9.73,-1698196.7267,14410.94,-0.072,9.32,0.0342,8.52
PL,W2,2021,-0.6294,25.13,-468910.3524,18307.01,-0.7584,25.54,-0.8184,26.83
PL,W3 (Crisis),2022,-2.1707,62.56,-320760.022,22608.41,-2.3419,64.1,-2.3125,63.92
PL,W4,2023,-0.9315,31.84,-918358.923,24913.51,-1.032,32.64,-1.2754,34.68
PL,W5,2024,0.2199,18.82,-828207.3882,30241.49,0.3163,16.78,0.2545,17.04
PL,W6,2025,0.3605,17.31,-229755.069,13601.71,0.2069,18.95,,
